哀	āi
穀物	gŭwù
蠱惑	gŭhuò
固態	gùtài
固網	gùwăng
故此	gùcĭ
故宮	gùgōng
故居	gùjū
故里	gùlĭ
故弄玄虛	gùnòngxuánxū
故事片	gùshipiàn
故園	gùyuán
*僱用	gùyòng
*僱主	gùzhŭ
顧及	gùjí
顧忌	gùjì
顧名思義	gùmíngsīyì
瓜果	guāguŏ
瓜子	guāzĭ
刮目相看	guāmùxiāngkàn
寡	guă
寡頭	guătóu
卦	guà
掛號信	guàhàoxìn
掛牌	guàpái
掛帥	guàshuài
掛賬	guàzhàng
乖	guāi
乖巧	guāiqiăo
枴杖	guăizhàng
怪不得	guài·bù·dé
怪誕	guàidàn
怪異	guàiyì
官場	guānchăng
官邸	guāndĭ
*官方	guānfāng
官服	guānfú
*官司	guān·si
冠心病	guānxīnbìng
關愛	guān'ài
關乎	guānhū
關連	guānlián
關門	guānmén
關卡	guānqiă
*關稅	guānshuì
關押	guānyā
關子	guān·zi
觀感	guāngăn
*觀光	guānguāng
觀摩	guānmó
*觀賞	guānshăng
觀望	guānwàng
觀音	Guānyīn
觀照	guānzhào
管教	guănjiào
管束	guănshù
*管弦樂	guănxiányuè
*管制	guănzhì
*管治	guănzhì
*館藏	guăncáng
貫徹始終	guànchèshĭzhōng
貫通	guàntōng
慣常	guàncháng
*灌輸	guànshū
灌注	guànzhù
罐	guàn
*罐頭	guàn·tou
光采	guāngcăi
*光碟	guāngdié
*光顧	guānggù
光環	guānghuán
光纜	guānglăn
光陰	guāngyīn
光影	guāngyĭng
廣博	guăngbó
廣袤	guăngmào
逛街	guàngjiē
皈依	guīyī
規	guī
規範化	guīfànhuà
*規例	guīlì
規律	guīlǜ
規章	guīzhāng
瑰寶	guībăo
瑰麗	guīlì
歸化	guīhuà
歸咎	guījiù
*歸屬	guīshŭ
歸宿	guīsù
龜	guī
軌	guĭ
軌跡	guĭjì
鬼斧神工	guĭfŭshéngōng
鬼怪	guĭguài
鬼魂	guĭhún
鬼臉	guĭliăn
鬼魅	guĭmèi
鬼門關	guĭménguān
鬼祟	guĭsuì
詭異	guĭyì
桂花	guìhuā
桂圓	guìyuán
*貴賓	guìbīn
櫃	guì
*櫃檯	guìtái
*櫃員機	guìyuánjī
滾蛋	gŭndàn
滾瓜爛熟	gŭnguālànshú
棍	gùn
鍋巴	guōbā
鍋蓋	guōgài
國寶	guóbăo
國粹	guócuì
*國道	guódào
國度	guódù
國歌	guógē
國畫	guóhuà
*國籍	guójí
國際化	guójìhuà
國腳	guójiăo
國界	guójiè
國境	guójìng
國庫	guókù
國立	guólì
*國企	guóqĭ
國慶	guóqìng
國務	guówù
國務卿	guówùqīng
國學	guóxué
*國語	guóyŭ
國債	guózhài
果凍	guŏdòng
果醬	guŏjiàng
*果皮	guŏpí
果仁	guŏrén
果肉	guŏròu
果糖	guŏtáng
果園	guŏyuán
果真	guŏzhēn
果汁	guŏzhī
果子	guŏ·zi
過半	guòbàn
過錯	guòcuò
過冬	guòdōng
*過海	guòhăi
過活	guòhuó
過火	guòhuŏ
過獎	guòjiăng
過節	guòjié
*過境	guòjìng
過客	guòkè
*過量	guòliàng
過路	guòlù
過敏	guòmĭn
過敏原	guòmĭnyuán
過期	guòqī
過氣	guòqì
過熱	guòrè
過人	guòrén
過山車	guòshānchē
過時	guòshí
過世	guòshì
*過往	guòwăng
過夜	guòyè
過意不去	guòyìbùqù
過癮	guòyĭn
孩童	háitóng
骸骨	háigŭ
海岸線	hăi'ànxiàn
*海報	hăibào
海豹	hăibào
*海產	hăichăn
海潮	hăicháo
海膽	hăidăn
海島	hăidăo
海道	hăidào
*海盜	hăidào
*海防	hăifáng
海風	hăifēng
*海港	hăigăng
海龜	hăiguī
*海口	hăikŏu
海闊天空	hăikuòtiānkōng
海浪	hăilàng
海螺	hăiluó
海綿	hăimián
海鳥	hăiniăo
海鷗	hăi'ōu
海參	hăishēn
海獅	hăishī
*海事	hăishì
*海水	hăishuĭ
*海灘	hăitān
海豚	hăitún
海味	hăiwèi
*海峽	hăixiá
海峽兩岸	Hăixiáliăng'àn
*海鮮	hăixiān
海嘯	hăixiào
海鹽	hăiyán
*海魚	hăiyú
海員	hăiyuán
*海運	hăiyùn
海藻	hăizăo
害羞	hàixiū
駭	hài
駭客	hàikè
含苞待放	hánbāodàifàng
含笑	hánxiào
*含蓄	hánxù
含意	hányì
函	hán
函件	hánjiàn
*涵蓋	hángài
涵義	hányì
寒風	hánfēng
寒噤	hánjìn
寒流	hánliú
寒暄	hánxuān
寒意	hányì
韓	Hán
罕	hăn
*罕有	hănyŏu
汗衫	hànshān
汗顏	hànyán
焊	hàn
焊接	hànjiē
憾	hàn
翰	hàn
行規	hángguī
行情	hángqíng
航	háng
*航班	hángbān
航程	hángchéng
航次	hángcì
航道	hángdào
航海家	hánghăijiā
航空母艦	hángkōngmŭjiàn
*航線	hángxiàn
*航運	hángyùn
毫	háo
毫克	háokè
*毫米	háomĭ
毫升	háoshēng
*亳無	háowú
豪	háo
豪放	háofàng
*豪華	háohuá
豪邁	háomài
豪氣	háoqì
豪情	háoqíng
豪爽	háoshuăng
豪宅	háozhái
壕	háo
壕溝	háogōu
蠔	háo
蠔油	háoyóu
好歹	hăodăi
好好兒	hăohāor
好評	hăopíng
好事多磨	hăoshìduōmó
好手	hăoshŏu
好玩兒	hăowánr
好戲	hăoxì
好笑	hăoxiào
好心	hăoxīn
好樣兒	hăoyàngr
好意	hăoyì
好動	hàodòng
好奇心	hàoqíxīn
好學	hàoxué
浩瀚	hàohàn
浩劫	hàojié
浩然	hàorán
耗電	hàodiàn
耗盡	hàojìn
耗用	hàoyòng
耗資	hàozī
號碼	hàomă
號手	hàoshŏu
號外	hàowài
呵護	hēhù
喝茶	hēchá
喝水	hēshuĭ
喝醉	hēzuì
*合唱	héchàng
*合唱團	héchàngtuán
*合共	hégòng
合夥	héhuŏ
*合夥人	héhuŏrén
合拍	hépāi
合算	hésuàn
合演	héyăn
合影	héyĭng
*合約	héyuē
合照	hézhào
*合奏	hézòu
何妨	héfáng
何謂	héwèi
河堤	hédī
河谷	hégŭ
河馬	hémă
河水	héshuĭ
和藹	hé'ăi
和緩	héhuăn
*和解	héjiĕ
和暖	hénuăn
和善	héshàn
和弦	héxián
核彈	hédàn
核彈頭	hédàntóu
核電	hédiàn
*核對	héduì
核能	hénéng
*核實	héshí
*核准	hézhŭn
核子	hézĭ
荷爾蒙	hé'ĕrméng
荷花	héhuā
荷葉	héyè
喝彩	hècăi
褐	hè
賀	hè
賀歲片	hèsuìpiàn
赫	hè
赫然	hèrán
*黑白	hēibăi
*黑板	hēibăn
黑點	hēidiăn
黑馬	hēimă
黑社會	hēishèhuì
嘿	hēi
痕	hén
狠	hĕn
狠心	hĕnxīn
亨通	hēngtōng
哼	hēng
恆久	héngjiŭ
恆溫	héngwēn
恆心	héngxīn
衡	héng
橫渡	héngdù
橫街	héngjiē
橫跨	héngkuà
橫掃	héngsăo
橫溢	héngyì
橫財	hèngcái
哄堂	hōngtáng
烘	hōng
烘焙	hōngbèi
烘熱	hōngrè
烘托	hōngtuō
洪荒	hónghuāng
洪流	hóngliú
*紅包	hóngbāo
紅潮	hóngcháo
紅塵	hóngchén
*紅燈	hóngdēng
紅豆	hóngdòu
紅火	hóng·huo
*紅酒	hóngjiŭ
*紅利	hónglì
紅棉	hóngmián
紅潤	hóngrùn
紅血球	hóngxuèqiú
紅腫	hóngzhŏng
虹	hóng
弘揚	hóngyáng
宏揚	hóngyáng
宏願	hóngyuàn
鬨動	hòngdòng
喉	hóu
喉管	hóuguăn
喉嚨	hóu·long
喉頭	hóutóu
厚薄	hòubó
厚實	hòu·shi
厚望	hòuwàng
厚重	hòuzhòng
*後備	hòubèi
後輩	hòubèi
後塵	hòuchén
後盾	hòudùn
後防	hòufáng
後宮	hòugōng
後顧之憂	hòugùzhīyōu
後悔莫及	hòuhuĭmòjí
後記	hòujì
後進	hòujìn
後門	hòumén
後腦勺兒	hòunăosháor
後起之秀	hòuqĭzhīxiù
*後勤	hòuqín
後嗣	hòusì
後台	hòutái
後衛	hòuwèi
後遺症	hòuyízhèng
後裔	hòuyì
*後者	hòuzhĕ
後座	hòuzuò
*候車	hòuchē
候鳥	hòuniăo
候任	hòurèn
候審	hòushĕn
候選	hòuxuăn
*候選人	hòuxuănrén
呼風喚雨	hūfēnghuànyŭ
呼號	hūháo
呼救	hūjiù
*呼吸道	hūxīdào
呼應	hūyìng
狐疑	húyí
弧度	húdù
弧形	húxíng
*胡椒	hújiāo
胡椒粉	hújiāofĕn
胡蘿蔔	húluó·bo
胡蘿蔔素	húluó·bosù
胡鬧	húnào
胡琴	húqín
胡思亂想	húsīluànxiăng
胡桃	hútáo
湖畔	húpàn
湖水	húshuĭ
糊	hú
糊口	húkŏu
鬍子	hú·zi
虎視眈眈	hŭshìdāndān
琥珀	hŭpò
*互動	hùdòng
互訪	hùfăng
互換	hùhuàn
互惠	hùhuì
互利	hùlì
*互聯網	hùliánwăng
*戶外	hùwài
戶主	hùzhŭ
護膚	hùfū
護膚品	hùfūpĭn
護欄	hùlán
*護理	hùlĭ
護送	hùsòng
護衛	hùwèi
花白	huābái
花瓣	huābàn
花布	huābù
花草	huācăo
花茶	huāchá
花車	huāchē
花叢	huācóng
花旦	huādàn
花燈	huādēng
花崗岩	huāgāngyán
花紅	huāhóng
花卉	huāhuì
*花椒	huājiāo
花轎	huājiào
花蕾	huālĕi
花蜜	huāmì
花盆	huāpén
花瓶	huāpíng
花圃	huāpŭ
花蕊	huāruĭ
花生油	huāshēngyóu
花市	huāshì
花絮	huāxù
花言巧語	huāyánqiăoyŭ
花藝	huāyì
划船	huáchuán
划算	huásuàn
*華麗	huálì
*華人	huárén
華裔	huáyì
華語	huáyŭ
滑稽	huá·jī
滑溜	huá·liu
滑落	huáluò
滑嫩	huánèn
滑鼠	huáshŭ
滑頭	huátóu
滑翔	huáxiáng
滑行	huáxíng
*滑雪	huáxuĕ
*化身	huàshēn
化為烏有	huàwéiwūyŏu
化險為夷	huàxiănwéiyí
*化驗	huàyàn
畫冊	huàcè
畫風	huàfēng
畫廊	huàláng
畫龍點睛	huàlóngdiănjīng
畫派	huàpài
畫蛇添足	huàshétiānzú
畫壇	huàtán
畫像	huàxiàng
畫展	huàzhăn
劃時代	huàshídài
劃一	huàyī
*話劇團	huàjùtuán
話音	huàyīn
淮	huái
*懷舊	huáijiù
*懷孕	huáiyùn
壞事	huàishì
歡	huān
歡快	huānkuài
歡心	huānxīn
歡欣	huānxīn
歡愉	huānyú
還擊	huánjī
還價	huánjià
還俗	huánsú
還債	huánzhài
*環保	huánbăo
環抱	huánbào
環環相扣	huánhuánxiāngkòu
*環球	huánqiú
*環繞	huánrào
*環線	huánxiàn
環遊	huányóu
緩步	huănbù
緩衝	huănchōng
緩急	huănjí
緩解	huănjiĕ
緩刑	huănxíng
幻	huàn
幻燈	huàndēng
幻燈片	huàndēngpiàn
幻化	huànhuà
幻滅	huànmiè
*幻想	huànxiăng
幻象	huànxiàng
幻影	huànyĭng
*患病	huànbìng
喚醒	huànxĭng
*換取	huànqŭ
煥發	huànfā
煥然一新	huànrányīxīn
荒廢	huāngfèi
荒漠	huāngmò
荒蕪	huāngwú
荒野	huāngyĕ
皇	huáng
*皇家	huángjiā
皇室	huángshì
*黃豆	huángdòu
簧	huáng
惶惑	huánghuò
惶恐	huángkŏng
遑論	huánglùn
恍惚	huănghū
恍然	huăngrán
晃眼	huăngyăn
幌子	huăng·zi
謊	huăng
謊話	huănghuà
謊言	huăngyán
晃動	huàngdòng
灰飛煙滅	huīfēiyānmiè
灰燼	huījìn
灰蒙蒙	huīmēngmēng
恢宏	huīhóng
詼諧	huīxié
揮動	huīdòng
揮發	huīfā
揮霍	huīhuò
揮灑	huīsă
揮手	huīshŏu
輝	huī
輝映	huīyìng
徽	huī
徽章	huīzhāng
*回報	huíbào
回程	huíchéng
*回復	huífù
*回合	huíhé
回扣	huíkòu
*回饋	huíkuì
回流	huíliú
*回落	huíluò
回暖	huínuăn
*回升	huíshēng
*回收	huíshōu
回首	huíshŏu
回望	huíwàng
*回味	huíwèi
回鄉	huíxiāng
回響	huíxiăng
回憶錄	huíyìlù
*回應	huíyìng
*回贈	huízèng
回轉	huízhuăn
迴盪	huídàng
迴旋	huíxuán
茴香	huíxiāng
悔	huĭ
彗星	huìxīng
慧	huì
惠	huì
惠顧	huìgù
惠及	huìjí
會話	huìhuà
會徽	huìhuī
*會考	huìkăo
*會面	huìmiàn
*會所	huìsuŏ
*會同	huìtóng
*會晤	huìwù
會展	huìzhăn
*會長	huìzhăng
薈萃	huìcuì
繪製	huìzhì
匯	huì
匯兌	huìduì
*匯價	huìjià
*匯聚	huìjù
*匯款	huìkuăn
*匯率	huìlǜ
匯票	huìpiào
匯市	huìshì
*匯演	huìyăn
*彙報	huìbào
*彙集	huìjí
諱言	huìyán
昏	hūn
昏暗	hūn'àn
昏黃	hūnhuáng
昏厥	hūnjué
昏睡	hūnshuì
婚嫁	hūnjià
婚紗	hūnshā
婚宴	hūnyàn
渾	hún
渾身解數	húnshēnxièshù
魂魄	húnpò
餛飩	hún·tun
混沌	hùndùn
*混和	hùnhé
混日子	hùnrì·zi
混為一談	hùnwéiyītán
混血兒	hùnxuè'ér
混雜	hùnzá
混戰	hùnzhàn
豁	huō
活化	huóhuà
活靈活現	huólínghuóxiàn
*活期	huóqī
活生生	huóshēngshēng
活脫兒	huótuōr
活性	huóxìng
活學活用	huóxuéhuóyòng
火爆	huŏbào
火車頭	huŏchētóu
*火鍋	huŏguō
火海	huŏhăi
火紅	huŏhóng
火花	huŏhuā
*火化	huŏhuà
火雞	huŏjī
*火警	huŏjĭng
火辣辣	huŏlālā
火爐	huŏlú
火炮	huŏpào
火熱	huŏrè
火舌	huŏshé
火勢	huŏshì
火速	huŏsù
火炭	huŏtàn
*火腿	huŏtuĭ
火藥	huŏyào
火葬	huŏzàng
伙	huŏ
惑	huò
貨場	huòchăng
*貨車	huòchē
貨船	huòchuán
貨單	huòdān
*貨櫃	huòguì
貨機	huòjī
貨架	huòjià
貨款	huòkuăn
貨流	huòliú
*貨品	huòpĭn
貨色	huòsè
貨箱	huòxiāng
貨源	huòyuán
*貨運	huòyùn
貨站	huòzhàn
貨真價實	huòzhēnjiàshí
禍	huò
禍根	huògēn
*獲獎	huòjiăng
*獲利	huòlì
獲悉	huòxī
獲知	huòzhī
*獲准	huòzhŭn
霍	huò
霍亂	huòluàn
霍然	huòrán
豁達	huòdá
*豁免	huòmiăn
豁然	huòrán
肌膚	jīfū
飢	jī
*基本法	Jībĕnfă
基本功	jībĕngōng
基地	jīdì
基點	jīdiăn
基調	jīdiào
基金	jījīn
*基金會	jījīnhuì
基石	jīshí
基數	jīshù
基因	jīyīn
基於	jīyú
*基準	jīzhŭn
幾率	jīlǜ
機艙	jīcāng
*機電	jīdiàn
*機動	jīdòng
機件	jījiàn
機靈	jī·ling
*機票	jīpiào
機師	jīshī
機鐵	jītiĕ
機位	jīwèi
機油	jīyóu
機組	jīzŭ
饑寒交迫	jīhánjiāopò
饑饉	jījĭn
畸型	jīxíng
稽查	jīchá
稽核	jīhé
激昂	jī'áng
激蕩	jīdàng
激流	jīliú
*激增	jīzēng
積存	jīcún
*積分	jīfēn
積聚	jījù
積勞成疾	jīláochéngjí
積木	jīmù
積蓄	jīxù
積雪	jīxuĕ
*擊敗	jībài
擊退	jītuì
擊中	jīzhòng
雞尾酒	jīwĕijiŭ
雞蛋	jīdàn
雞肋	jīlèi
*雞肉	jīròu
*躋身	jīshēn
羈留	jīliú
羈押	jīyā
及第	jídì
*及早	jízăo
及至	jízhì
*汲取	jíqŭ
吉	jí
吉利	jílì
吉祥	jíxiáng
吉祥物	jíxiángwù
即刻	jíkè
*即日	jírì
*即時	jíshí
即使	jíshĭ
即席	jíxí
急促	jícù
急救	jíjiù
急流	jíliú
*急升	jíshēng
*急速	jísù
急增	jízēng
急診	jízhĕn
*急症	jízhèng
急轉直下	jízhuănzhíxià
疾	jí
疾苦	jíkŭ
嫉妒	jídù
*級別	jíbié
集結	jíjié
集散	jísàn
集市	jíshì
集思廣益	jísīguăngyì
集訓	jíxùn
集裝箱	jízhuāngxiāng
極地	jídì
極點	jídiăn
*極度	jídù
極品	jípĭn
棘手	jíshŏu
輯	jí
輯錄	jílù
紀	Jĭ
給與	jĭyŭ
幾時	jĭshí
幾許	jĭxŭ
擠壓	jĭyā
技法	jìfă
技工	jìgōng
技師	jìshī
忌	jì
忌諱	jìhuì
忌口	jìkŏu
紀錄片	jìlùpiàn
紀念碑	jìniànbēi
紀念館	jìniànguăn
*紀念品	jìniànpĭn
紀念日	jìniànrì
紀事	jìshì
記名	jìmíng
記事	jìshì
記事簿	jìshìbù
記述	jìshù
記敘	jìxù
記憶猶新	jìyìyóuxīn
記賬	jìzhàng
*季度	jìdù
季軍	jìjūn
季刊	jìkān
*計程車	jìchéngchē
計分	jìfēn
計畫書	jìhuàshū
計量	jìliàng
寂	jì
寄存	jìcún
寄居	jìjū
寄情	jìqíng
寄宿	jìsù
寄信	jìxìn
寄養	jìyăng
寄予	jìyŭ
寄寓	jìyù
祭拜	jìbài
祭品	jìpĭn
祭壇	jìtán
冀	jì
冀望	jìwàng
績效	jìxiào
劑量	jìliàng
覬覦	jìyú
繼承權	jìchéngquán
*繼而	jì'ér
繼任	jìrèn
繼往開來	jìwăngkāilái
加倍	jiābèi
加碼	jiāmă
加盟	jiāméng
加片兒	jiāpiànr
加薪	jiāxīn
加油	jiāyóu
夾道	jiādào
夾擊	jiājī
佳節	jiājié
*佳肴	jiāyáo
佳作	jiāzuò
*家常	jiācháng
家常菜	jiāchángcài
家傳	jiāchuán
家當兒	jiā·dàngr
家計	jiājì
家教	jiājiào
家境	jiājìng
*家居	jiājū
家眷	jiājuàn
家門	jiāmén
*家禽	jiāqín
家事	jiāshì
家書	jiāshū
家喻戶曉	jiāyùhùxiăo
家園	jiāyuán
嘉	jiā
*嘉賓	jiābīn
嘉許	jiāxŭ
頰	jiá
甲骨文	jiăgŭwén
假貨	jiăhuò
假借	jiăjiè
假象	jiăxiàng
架次	jiàcì
*架構	jiàgòu
架空	jiàkōng
架勢	jià·shi
駕	jià
駕臨	jiàlín
駕輕就熟	jiàqīngjiùshú
駕馭	jiàyù
*假日	jiàrì
嫁妝	jià·zhuang
價廉物美	jiàliánwùmĕi
價碼	jiàmă
價目	jiàmù
*價值觀	jiàzhíguān
奸	jiān
尖端	jiānduān
尖叫	jiānjiào
*肩負	jiānfù
*兼備	jiānbèi
兼併	jiānbìng
*兼顧	jiāngù
兼職	jiānzhí
堅	jiān
堅忍	jiānrĕn
堅毅	jiānyì
堅貞	jiānzhēn
*煎	jiān
煎熬	jiān'áo
煎餅	jiān·bing
監	jiān
*監測	jiāncè
*監察	jiānchá
*監管	jiānguăn
監護人	jiānhùrén
*監禁	jiānjìn
*監控	jiānkòng
監理	jiānlĭ
*監製	jiānzhì
緘默	jiānmò
艱深	jiānshēn
艱辛	jiānxīn
殲	jiān
柬	jiăn
揀選	jiănxuăn
剪報	jiănbào
剪裁	jiăncái
剪輯	jiănjí
剪接	jiănjiē
剪影	jiănyĭng
*減肥	jiănféi
減幅	jiănfú
減縮	jiănsuō
減削	jiănxuē
減壓	jiănyā
*檢測	jiăncè
檢察	jiănchá
*檢察官	jiăncháguān
檢點	jiăndiăn
檢定	jiăndìng
*檢視	jiănshì
檢索	jiănsuŏ
*檢疫	jiănyì
檢閱	jiănyuè
簡報	jiănbào
*簡便	jiănbiàn
*簡潔	jiănjié
*簡介	jiănjiè
簡歷	jiănlì
簡略	jiănlüè
簡樸	jiănpŭ
簡述	jiănshù
簡訊	jiănxùn
*簡易	jiănyì
簡約	jiănyuē
鹼性	jiănxìng
見仁見智	jiànrénjiànzhì
見死不救	jiànsĭbùjiù
見聞	jiànwén
見習	jiànxí
見效	jiànxiào
*見證	jiànzhèng
建材	jiàncái
*建構	jiàngòu
建樹	jiànshù
*建築師	jiànzhùshī
*建築物	jiànzhùwù
健兒	jiàn'ér
健身	jiànshēn
健碩	jiànshuò
毽子	jiàn·zi
*鍵盤	jiànpán
間諜	jiàndié
間斷	jiànduàn
間或	jiànhuò
間歇	jiànxiē
*漸趨	jiànqū
箭頭	jiàntóu
賤	jiàn
賤賣	jiànmài
餞行	jiànxíng
薦	jiàn
艦	jiàn
艦隊	jiànduì
鑒賞	jiànshăng
鑒證	jiànzhèng
*江湖	jiānghú
江山	jiāngshān
將功補過	jiānggōngbŭguò
將就	jiāng·jiu
僵	jiāng
僵持	jiāngchí
僵化	jiānghuà
僵硬	jiāngyìng
薑	jiāng
疆	jiāng
疆土	jiāngtŭ
*獎項	jiăngxiàng
*獎牌	jiăngpái
獎券	jiăngquàn
*獎賞	jiăngshăng
獎章	jiăngzhāng
*講解	jiăngjiĕ
*講求	jiăngqiú
講師	jiăngshī
講授	jiăngshòu
*講座	jiăngzuò
匠	jiàng
將領	jiànglĭng
醬	jiàng
*醬汁	jiàngzhī
降溫	jiàngwēn
降雪	jiàngxuĕ
降雨	jiàngyŭ
交白卷	jiāobáijuàn
交差	jiāochāi
交待	jiāodài
交鋒	jiāofēng
*交付	jiāofù
*交匯	jiāohuì
交接	jiāojiē
*交界	jiāojiè
交流會	jiāoliúhuì
交融	jiāoróng
交響樂	jiāoxiăngyuè
交易額	jiāoyì'é
*交易所	jiāoyìsuŏ
郊	jiāo
郊外	jiāowài
*郊野	jiāoyĕ
郊遊	jiāoyóu
教書	jiāoshū
椒	jiāo
椒鹽	jiāoyán
*焦慮	jiāolǜ
焦油	jiāoyóu
焦躁	jiāozào
礁	jiāo
膠水	jiāoshuĭ
膠質	jiāozhì
嬌	jiāo
嬌艷	jiāoyàn
嬌縱	jiāozòng
驕人	jiāorén
佼佼者	jiăojiăozhĕ
絞	jiăo
絞盡腦汁	jiăojìnnăozhī
角膜	jiăomó
腳板	jiăobăn
腳法	jiăofă
腳跟	jiăogēn
腳踝	jiăohuái
腳尖	jiăojiān
腳踏實地	jiăotàshídì
腳掌	jiăozhăng
腳趾	jiăozhĭ
僥幸	jiăoxìng
矯	jiăo
矯健	jiăojiàn
矯飾	jiăoshì
矯枉過正	jiăowăngguòzhèng
矯正	jiăozhèng
繳	jiăo
*繳費	jiăofèi
*繳付	jiăofù
繳稅	jiăoshuì
*攪拌	jiăobàn
攪拌機	jiăobànjī
攪和	jiăo·huo
叫好	jiàohăo
叫化子	jiàohuā·zi
校對	jiàoduì
教案	jiào'àn
教父	jiàofù
*教改	jiàogăi
教化	jiàohuà
教皇	Jiàohuáng
教誨	jiàohuì
教科書	jiàokēshū
教派	jiàopài
教廷	Jiàotíng
教徒	jiàotú
教學法	jiàoxuéfă
教研	jiàoyán
教友	jiàoyŏu
教育家	jiàoyùjiā
教職	jiàozhí
教宗	Jiàozōng
轎	jiào
醮	jiào
接班	jiēbān
接二連三	jiē'èrliánsān
*接管	jiēguăn
接軌	jiēguĭ
接合	jiēhé
*接獲	jiēhuò
接力	jiēlì
*接納	jiēnà
接壤	jiērăng
接任	jiērèn
接手	jiēshŏu
接送	jiēsòng
接替	jiētì
接吻	jiēwĕn
接線	jiēxiàn
接線生	jiēxiànshēng
接續	jiēxù
接應	jiēyìng
接踵	jiēzhŏng
接種	jiēzhòng
揭	jiē
*揭幕	jiēmù
揭曉	jiēxiăo
街燈	jiēdēng
街景	jiējĭng
*街市	jiēshì
階	jiē
階梯	jiētī
劫	jié
劫案	jié'àn
劫後餘生	jiéhòuyúshēng
劫數	jiéshù
桔梗	jiégĕng
結案	jié'àn
結拜	jiébài
結伴	jiébàn
結存	jiécún
結核	jiéhé
結集	jiéjí
結盟	jiéméng
結社	jiéshè
結識	jiéshí
*結業	jiéyè
*結餘	jiéyú
結語	jiéyŭ
結賬	jiézhàng
捷	jié
捷足先登	jiézúxiāndēng
睫毛	jiémáo
節儉	jiéjiăn
節流	jiéliú
節拍	jiépāi
節食	jiéshí
節外生枝	jiéwàishēngzhī
節選	jiéxuăn
節制	jiézhì
*截斷	jiéduàn
截稿	jiégăo
截獲	jiéhuò
截擊	jiéjī
截然	jiérán
*截止	jiézhĭ
截至	jiézhì
竭	jié
竭盡	jiéjìn
潔	jié
潔淨	jiéjìng
解凍	jiĕdòng
解讀	jiĕdú
*解僱	jiěgù
解禁	jiĕjìn
解救	jiĕjiù
解開	jiĕkāi
解悶	jiĕmèn
解難	jiĕnàn
解說	jiĕshuō
解體	jiĕtĭ
解約	jiĕyuē
介	jiè
*介入	jièrù
*介意	jièyì
戒備	jièbèi
戒除	jièchú
戒毒	jièdú
戒毒所	jièdúsuŏ
戒心	jièxīn
*戒煙	jièyān
戒指	jiè·zhi
*屆滿	jièmăn
*屆時	jièshí
*界定	jièdìng
借貸	jièdài
借調	jièdiào
借書	jièshū
借書證	jièshūzhèng
借題發揮	jiètífāhuī
借閱	jièyuè
藉	jiè
*藉以	jièyĭ
巾	jīn
今非昔比	jīnfēixībĭ
金榜	jīnbăng
金碧輝煌	jīnbìhuīhuáng
金箔	jīnbó
金剛	Jīngāng
金黃	jīnhuáng
*金卡	jīnkă
金礦	jīnkuàng
金器	jīnqì
金色	jīnsè
金飾	jīnshì
金像獎	Jīnxiàngjiăng
金枝玉葉	jīnzhīyùyè
金字塔	jīnzìtă
*金子	jīn·zi
津津樂道	jīnjīnlèdào
津津有味	jīnjīnyŏuwèi
*津貼	jīntiē
筋	jīn
筋骨	jīngŭ
禁	jīn
襟	jīn
緊閉	jĭnbì
緊湊	jĭncòu
緊要	jĭnyào
錦	jĭn
錦標	jĭnbiāo
錦鯉	jĭnlĭ
錦囊	jĭnnáng
錦上添花	jĭnshàngtiānhuā
*儘早	jĭnzăo
謹	jĭn
謹防	jĭnfáng
謹記	jĭnjì
近況	jìnkuàng
*近期	jìnqī
近親	jìnqīn
近視	jìn·shì
勁歌	jìnggē
晉級	jìnjí
*浸泡	jìnpào
浸透	jìntòu
*進出	jìnchū
*進出口	jìnchūkŏu
*進度	jìndù
進發	jìnfā
進貢	jìngòng
進口商	jìnkŏushāng
進食	jìnshí
進行曲	jìnxíngqŭ
進賬	jìnzhàng
進駐	jìnzhù
禁	jìn
禁忌	jìnjì
禁令	jìnlìng
禁煙	jìnyān
禁運	jìnyùn
*盡情	jìnqíng
盡善盡美	jìnshànjìnmĕi
盡收眼底	jìnshōuyăndĭ
盡頭	jìntóu
盡現	jìnxiàn
盡力	jìnlì
盡興	jìnxìng
盡責	jìnzé
盡職	jìnzhí
盡忠	jìnzhōng
京城	jīngchéng
京師	jīngshī
荊	jīng
荊棘	jīngjí
*晶片	jīngpiàn
晶瑩	jīngyíng
睛	jīng
*精彩	jīngcăi
精粹	jīngcuì
精打細算	jīngdăxìsuàn
精讀	jīngdú
精煉	jīngliàn
精良	jīngliáng
*精美	jīngmĕi
精妙	jīngmiào
*精明	jīngmíng
精疲力竭	jīngpílìjié
精闢	jīngpì
*精品	jīngpĭn
精巧	jīngqiăo
精銳	jīngruì
精神病	jīngshénbìng
精髓	jīngsuĭ
*精選	jīngxuăn
精要	jīngyào
精益求精	jīngyìqiújīng
*精英	jīngyīng
*精湛	jīngzhàn
精忠	jīngzhōng
精裝	jīngzhuāng
經不起	jīng·bùqĭ
經得起	jīng·déqĭ
*經紀	jīngjì
經濟學	jīngjìxué
*經貿	jīngmào
經年累月	jīngniánlĕiyuè
經銷	jīngxiāo
經銷商	jīngxiāoshāng
經文	jīngwén
*經由	jīngyóu
驚愕	jīng'è
驚呼	jīnghū
驚惶	jīnghuáng
驚覺	jīngjué
驚嘆	jīngtàn
驚險	jīngxiăn
驚心動魄	jīngxīndòngpò
井井有條	jĭngjĭngyŏutiáo
